cell_id,ctr_x,ctr_y,n_dolmen,n_sites,n_extant,landform_mode,dist_coast_km,elev_m,bathy_grad,curr_p90,curr_mean
58,847500.0,1582500.0,0.0,0.0,0.0,,18.123093873612987,7.338006973266602,3.7711759093654718,0.350217878818512,0.21247634291648865
66,847500.0,1622500.0,0.0,0.0,0.0,,12.453514221423603,-2.0,16.457022227314802,0.2534621715545655,0.13032901287078857
67,847500.0,1627500.0,0.0,0.0,0.0,,9.29530503060391,0.75,33.298819250503634,0.28121893405914306,0.1348784863948822
132,852500.0,1682500.0,0.0,0.0,0.0,,17.066198311211352,-4.75,4.48783076775406,0.26023579835891725,0.12958891689777374
168,857500.0,1592500.0,0.0,0.0,0.0,,6.640406801078119,25.7470703125,10.327340812677614,0.28037003278732303,0.17163555324077606
175,857500.0,1627500.0,0.0,0.0,0.0,,3.053710422682249,0.75,53.818754787358316,0.05640013217926026,0.03010040894150734
176,857500.0,1632500.0,0.0,0.0,0.0,,1.0087581970260082,45.337310791015625,23.30067834095096,,
177,857500.0,1637500.0,0.0,0.0,0.0,,1.0145991574798918,-4.104997634887695,2.2087967440428606,,
178,857500.0,1642500.0,0.0,0.0,0.0,,1.1074021182391567,4.157277584075928,9.624878013743047,,
183,857500.0,1667500.0,0.0,0.0,0.0,,12.265486803780126,-3.25,3.48209706929603,0.2199240654706956,0.11068270355463028
185,857500.0,1677500.0,0.0,0.0,0.0,,11.113549554073545,-2.5,1.231107225224513,0.24042180180549627,0.12108366936445236
222,862500.0,1592500.0,0.0,0.0,0.0,,1.9803114290433017,-3.0,47.45018123822045,,
229,862500.0,1627500.0,0.0,0.0,0.0,,2.018360822285265,4.2853803634643555,26.13467045172204,,
230,862500.0,1632500.0,0.0,0.0,0.0,,0.001680280374291134,15.666488647460938,18.003508388489095,,
231,862500.0,1637500.0,0.0,0.0,0.0,,1.2415633264858406,-3.5,3.7416437036611954,,
232,862500.0,1642500.0,4.0,1.0,4.0,평지,0.5348789043647924,28.88022804260254,5.375973426504711,,
235,862500.0,1657500.0,0.0,0.0,0.0,,1.6906943246122186,-4.0,6.189709201569974,,
262,862500.0,1792500.0,0.0,0.0,0.0,,46.93182698992664,67.2667236328125,39.662521521050685,0.27921733260154724,0.13543258607387543
274,867500.0,1582500.0,0.0,0.0,0.0,,5.75987798473591,-4.0,35.60698209942672,,
280,867500.0,1612500.0,0.0,0.0,0.0,,3.7804277476516224,41.17041015625,32.073129667011536,0.06121934056282044,0.03625476360321045
281,867500.0,1617500.0,0.0,0.0,0.0,,0.6044748249388148,25.489898681640625,31.808742683248624,,
282,867500.0,1622500.0,0.0,0.0,0.0,,0.23801743504059145,8.214155197143555,15.024164597089577,,
283,867500.0,1627500.0,0.0,0.0,0.0,,1.4083749980624198,13.086031913757324,11.901993279072858,,
286,867500.0,1642500.0,0.0,0.0,0.0,,1.6077024349165625,4.54711389541626,5.238858237475176,,
287,867500.0,1647500.0,0.0,0.0,0.0,,2.6807287129809394,11.740689277648926,13.008256341651828,,
288,867500.0,1652500.0,0.0,0.0,0.0,,0.20324543033492123,21.04271125793457,27.89910858231388,,
289,867500.0,1657500.0,4.0,1.0,4.0,구릉정상,0.4300109879920738,28.320098876953125,26.795913289560282,,
293,867500.0,1677500.0,2.0,2.0,1.0,산록하사면,1.3418830999824118,30.893068313598633,47.7016628892278,,
295,867500.0,1687500.0,0.0,0.0,0.0,,7.552814825722266,-3.25,4.72526454285895,0.16695691049098974,0.07698974013328552
332,872500.0,1602500.0,0.0,0.0,0.0,,0.6445740166556715,38.988468170166016,53.97824848152261,,
336,872500.0,1622500.0,0.0,0.0,0.0,,0.5093081199102203,-1.0995423793792725,19.414202278251228,,
337,872500.0,1627500.0,0.0,0.0,0.0,,3.1739507002943568,-1.0,13.350111833393802,,
338,872500.0,1632500.0,0.0,0.0,0.0,,4.316324917026036,-2.0,5.875,,
339,872500.0,1637500.0,0.0,0.0,0.0,,0.32614525276765227,2.4381794929504395,8.5194207295173,,
340,872500.0,1642500.0,34.0,8.0,33.0,산록하사면,0.255081016186214,0.25,19.688508351568842,,
341,872500.0,1647500.0,1.0,1.0,1.0,지석묘는 장산중학교에서 서쪽으로 70여m 떨,1.203665389962814,49.322410583496094,13.45641384592015,,
342,872500.0,1652500.0,6.0,1.0,2.0,산록하사면,0.6610357231056772,-4.5,6.1625968332820085,,
343,872500.0,1657500.0,0.0,0.0,0.0,,1.2821059333193288,-1.25,8.109414686636017,,
345,872500.0,1667500.0,0.0,0.0,0.0,,5.75314400074801,5.932886123657227,14.06801656890713,0.0574630215764046,0.03281994163990021
347,872500.0,1677500.0,24.0,7.0,25.0,산록하사면,2.549264480375244,10.492547988891602,8.090527643290352,,
348,872500.0,1682500.0,0.0,0.0,0.0,,0.7210557250601997,2.9942917823791504,12.576290862794856,,
350,872500.0,1692500.0,0.0,0.0,0.0,,8.965115190991087,-1.0,1.0,0.200096932053566,0.09377656877040863
351,872500.0,1697500.0,0.0,0.0,0.0,,13.816771133398461,-1.0,1.125,0.24300711154937749,0.1217486634850502
385,877500.0,1597500.0,0.0,0.0,0.0,,1.1655670640138314,45.46696472167969,30.184341110147475,,
386,877500.0,1602500.0,0.0,0.0,0.0,,2.614391865460188,27.414321899414062,23.87946619859867,,
387,877500.0,1607500.0,0.0,0.0,0.0,,1.1561979927386217,77.9814224243164,69.12881586181027,,
391,877500.0,1627500.0,0.0,0.0,0.0,,6.701488022315229,31.505455017089844,9.660258574000412,,
393,877500.0,1637500.0,0.0,0.0,0.0,,1.3275232806501045,12.152277946472168,25.83963412293111,,
394,877500.0,1642500.0,0.0,0.0,0.0,,0.18470571809702513,10.943588256835938,7.618690121065931,,
395,877500.0,1647500.0,0.0,0.0,0.0,,1.0869667564106131,0.25,6.916376357061194,,
398,877500.0,1662500.0,1.0,1.0,1.0,왕겨동산 구릉정상,6.177451561858805,7.770280838012695,6.436825069702129,,
399,877500.0,1667500.0,39.0,7.0,4.0,산록하사면,3.440941002360387,3.038133382797241,3.0848010180339127,,
400,877500.0,1672500.0,1.0,1.0,0.0,산록하사면,0.5572498242014541,9.944245338439941,20.324029598108623,,
401,877500.0,1677500.0,1.0,1.0,0.0,산록하사면,0.6051623092125877,-4.25,8.603185341584243,,
